source_dir,mode,active,rps,slo_scale,mix,raw_engine_tok_s,raw_decode_tok_s,goodput_tok_s,goodput_raw_ratio,mean_tpot_ms,overall_attain,tight_attain,normal_attain,loose_attain,tight_mean_tpot_ms,normal_mean_tpot_ms,loose_mean_tpot_ms,tight_n,normal_n,loose_n,engine_elapsed_s,total_output_tokens,attained_output_tokens,file,path
raw,dual_batch_pearl,64,,,,206.14105170527432,207.35865971867102,58.26404575122774,0.2826416440065974,71.26091254440603,0.22265625,0.023333333333333334,0.018691588785046728,1.0,57.32543698465541,74.98633460144134,107.280174523667,300,107,105,435.29417967796326,89732.0,25362.0,_active64_rps.json,rps6_shifted_dual_active_sweep/raw/_active64_rps.json
raw,parallel_pearl,64,,0.6,,737.4034250016371,753.2169987790857,89.20129763852462,0.12096675254569993,64.13950911738338,0.091796875,0.0,0.009345794392523364,0.4380952380952381,54.197726125529165,66.29317907583793,90.34991113644654,300,107,105,121.59015941619873,89661.0,10846.0,parallel_active64_sloscale0p6.json,rps6_active64_slo_scale_parallel/raw/parallel_active64_sloscale0p6.json
raw,parallel_pearl,64,,0.8,,747.2662841961359,763.4443493247886,201.26649457240327,0.26933704735376046,62.75553770423082,0.21484375,0.0,0.07476635514018691,0.9714285714285714,52.85162262546364,64.21792813456827,89.5621924431265,300,107,105,120.10444188117981,89750.0,24173.0,parallel_active64_sloscale0p8.json,rps6_active64_slo_scale_parallel/raw/parallel_active64_sloscale0p8.json
raw,parallel_pearl,64,,1.0,,761.6525964710463,778.5529553424075,260.78258115369334,0.34239045775196386,62.780361227805074,0.28515625,0.08,0.1588785046728972,1.0,52.85004365240119,64.25452942942697,89.65044956159196,300,107,105,117.99867868423462,89874.0,30772.0,parallel_active64_sloscale1p0.json,rps6_active64_slo_scale_parallel/raw/parallel_active64_sloscale1p0.json
raw,parallel_pearl,64,,1.2,,747.2108543338536,763.4860031270942,414.34238925683854,0.5545186969028029,62.75550481079424,0.521484375,0.4066666666666667,0.37383177570093457,1.0,52.76297706073074,63.838426002033806,90.20203583514106,300,107,105,120.03840613365173,89694.0,49737.0,parallel_active64_sloscale1p2.json,rps6_active64_slo_scale_parallel/raw/parallel_active64_sloscale1p2.json
raw,parallel_pearl,64,,1.4,,742.4116472853412,758.4283766548609,568.9825386159739,0.7663976456949214,63.117051564215245,0.740234375,0.6833333333333333,0.6448598130841121,1.0,53.3229309235558,64.00359141601356,90.1968270695049,300,107,105,120.83323359489441,89708.0,68752.0,parallel_active64_sloscale1p4.json,rps6_active64_slo_scale_parallel/raw/parallel_active64_sloscale1p4.json
raw,parallel_pearl,64,2,,,321.16874903458535,335.92293582232963,289.9878863923888,0.9029143939566835,38.473458638396274,0.8984375,0.8506493506493507,0.9411764705882353,1.0,33.353426470248806,37.10086155438983,55.30654501445587,154,51,51,136.42983675003052,43817.0,39563.0,parallel_active64_rps2.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps2.json
raw,parallel_pearl,64,2.4,,,378.3902290085412,395.5338390212573,309.60223776122155,0.8182088596009519,41.42037634140143,0.80859375,0.7142857142857143,0.9019607843137255,1.0,36.79916462258833,38.88304449675412,57.911955336974565,154,51,51,115.49981117248535,43704.0,35759.0,parallel_active64_rps2p4.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps2p4.json
raw,parallel_pearl,64,2.8,,,434.37732278464694,453.74231538087884,309.5343710810817,0.7125933027460111,45.033364816608085,0.69921875,0.5324675324675324,0.9019607843137255,1.0,40.95144270053776,40.13552185219429,62.25701181778323,154,51,51,100.85471248626709,43809.0,31218.0,parallel_active64_rps2p8.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps2p8.json
raw,parallel_pearl,64,3.2,,,483.7067178596473,504.8748517354604,315.7452973789309,0.6527618611047444,47.489527114258905,0.6328125,0.42207792207792205,0.9019607843137255,1.0,43.648191825800474,41.679394526773756,64.89898586689306,154,51,51,90.19928479194641,43630.0,28480.0,parallel_active64_rps3p2.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps3p2.json
