parent_dir,source_dir,mode,active,rps,slo_scale,mix,raw_engine_tok_s,raw_decode_tok_s,goodput_tok_s,goodput_raw_ratio,mean_tpot_ms,overall_attain,tight_attain,normal_attain,loose_attain,tight_mean_tpot_ms,normal_mean_tpot_ms,loose_mean_tpot_ms,tight_n,normal_n,loose_n,engine_elapsed_s,total_output_tokens,attained_output_tokens,file,path
rps6_mix_sweep_active64,raw,serialized_pearl,64,6,,mix433,690.5158720768724,702.8724251081568,210.16069904496226,0.3043531764343947,75.64529541916947,0.3046875,0.0,0.012987012987012988,1.0,74.53242217922929,66.54809649588516,86.21669006289403,102,77,77,94.14700317382812,65010.0,19786.0,serial_active64_rps6_mix433.json,rps6_mix_sweep_active64/raw/serial_active64_rps6_mix433.json
rps6_mix_sweep_active64,raw,serialized_pearl,64,6,,mix525252,709.3397934306538,723.7223718527672,193.56137279660612,0.27287539003058764,72.97282527534387,0.2734375,0.0,0.09375,1.0,72.36891546545625,62.148208677682604,85.00526149278035,128,64,64,91.71767973899841,65059.0,17753.0,serial_active64_rps6_mix525252.json,rps6_mix_sweep_active64/raw/serial_active64_rps6_mix525252.json
rps6_mix_sweep_active64,raw,serialized_pearl,64,6,,mix71515,712.3049823815322,731.8589706050109,130.73370390133027,0.18353613569321536,69.40183549899096,0.18359375,0.0,0.21052631578947367,1.0,70.49680762197903,56.812803912332676,76.64243012150762,179,38,39,91.37658953666687,65088.0,11946.0,serial_active64_rps6_mix71515.json,rps6_mix_sweep_active64/raw/serial_active64_rps6_mix71515.json
rps_shifted_n256_active64_mode_sweep,raw,parallel_pearl,64,2,,,490.8258003724344,513.9751433842355,345.32979866866464,0.7035689615473175,38.76942134699174,0.703125,0.5064935064935064,1.0,1.0,40.62285971040332,28.346402641773466,43.59578303328094,154,51,51,132.72529673576355,65145.0,45834.0,parallel_active64_rps2.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps2.json
rps_shifted_n256_active64_mode_sweep,raw,parallel_pearl,64,2.4,,,582.2796123578719,609.5033314058182,295.62824322219626,0.5077083877711001,43.923723569975856,0.5078125,0.18181818181818182,1.0,1.0,47.18921809319579,30.31660262295351,47.6703316429615,154,51,51,111.73154377937317,65059.0,33031.0,parallel_active64_rps2p4.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps2p4.json
rps_shifted_n256_active64_mode_sweep,raw,parallel_pearl,64,2.8,,,667.2685908326695,698.0385608459095,325.1998070007657,0.48735968014762415,46.61716335122075,0.48828125,0.14935064935064934,1.0,1.0,49.64121819488805,31.69676515881913,52.40610181960741,154,51,51,97.45700740814209,65030.0,31693.0,parallel_active64_rps2p8.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps2p8.json
rps_shifted_n256_active64_mode_sweep,raw,parallel_pearl,64,3.2,,,752.427217512125,786.8850822164649,323.1914572535581,0.4295318533561022,49.16990375012083,0.4296875,0.05194805194805195,1.0,1.0,52.14070268300873,33.036750425166304,56.33240931694327,154,51,51,86.3884220123291,65001.0,27920.0,parallel_active64_rps3p2.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps3p2.json
rps_shifted_n256_active64_mode_sweep,raw,parallel_pearl,64,3.6,,,823.9522744387826,860.5185795346963,363.64239749337844,0.44133915127677226,49.116071290104784,0.44140625,0.07142857142857142,1.0,1.0,51.96625518378974,34.05584907249399,55.56985586796102,154,51,51,78.99243927001953,65086.0,28725.0,parallel_active64_rps3p6.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps3p6.json
rps_shifted_n256_active64_mode_sweep,raw,parallel_pearl,64,4,,,865.746048469871,902.1850622659318,361.53201802904266,0.4175959204988787,49.9965378560166,0.41796875,0.045454545454545456,0.9607843137254902,1.0,52.88175528746707,35.305396002983,55.97545452388603,154,51,51,75.20219135284424,65106.0,27188.0,parallel_active64_rps4.json,rps_shifted_n256_active64_mode_sweep/raw/parallel_active64_rps4.json
rps_shifted_n256_active64_mode_sweep,raw,serialized_pearl,64,2,,,477.32748238373733,499.3065055025683,178.84376303168645,0.37467728055077454,61.45368682879141,0.375,0.006493506493506494,0.8627450980392157,1.0,64.8839857758665,41.20330175609664,71.34591429659274,154,51,51,136.32569336891174,65072.0,24381.0,serial_active64_rps2.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps2.json
rps_shifted_n256_active64_mode_sweep,raw,serialized_pearl,64,2.4,,,558.2318268386207,583.3345376224366,193.8654128651193,0.34728477228361954,65.9704121456665,0.34765625,0.0,0.7450980392156863,1.0,68.89461878938508,45.09667780479539,78.01418917021093,154,51,51,116.54477024078369,65059.0,22594.0,serial_active64_rps2p4.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps2p4.json
rps_shifted_n256_active64_mode_sweep,raw,serialized_pearl,64,2.8,,,619.6972654337933,646.2522465798161,205.68294122364404,0.33190874431189277,67.55648238677307,0.33203125,0.0,0.6666666666666666,1.0,70.4948471303713,47.07930861345504,79.16094693432392,154,51,51,104.96738266944885,65048.0,21590.0,serial_active64_rps2p8.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps2p8.json
rps_shifted_n256_active64_mode_sweep,raw,serialized_pearl,64,3.2,,,632.1453029525724,656.2781218290555,167.66818298331526,0.2652367773677736,70.38573594332125,0.265625,0.0,0.3333333333333333,1.0,72.84305941820489,52.17252122903645,81.17879741972213,154,51,51,102.8877375125885,65040.0,17251.0,serial_active64_rps3p2.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps3p2.json
rps_shifted_n256_active64_mode_sweep,raw,serialized_pearl,64,3.6,,,658.0216585614698,681.3028540016126,182.42545511492563,0.27723320766330695,69.50692596199328,0.27734375,0.0,0.39215686274509803,1.0,71.51131233394291,52.7809495044517,80.18044161011828,154,51,51,98.75814747810364,64985.0,18016.0,serial_active64_rps3p6.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps3p6.json
rps_shifted_n256_active64_mode_sweep,raw,serialized_pearl,64,4,,,668.2974034485696,689.9287697845825,161.49067837207417,0.24164492864815096,69.99801660880667,0.2421875,0.0,0.21568627450980393,1.0,71.51070214128677,55.514536474210004,79.91377964532616,154,51,51,97.51646447181702,65170.0,15748.0,serial_active64_rps4.json,rps_shifted_n256_active64_mode_sweep/raw/serial_active64_rps4.json
